Cust_Num,Comp_Name,First_Name,Last_Name,Phone_Num,Street_Address,City,State,Zip,Category
FL-1231,Li-Harris ,Junior,Scott,(414) 555-6354,954 Broad Court ,Winter Garden,FL,34787,Reseller
FL-1232,The Callous Crab,Meredith,Morris,(773) 555-5153,170 Tanglewood Court ,Palm Harbor,FL,34683,Retailer
FL-1233,Wide-Eyed Wallaby Cafe,Amari,Norton,(383) 555-2215,167 South Circle St. ,Haines City,FL,33844,Retailer
FL-1234,"Gibson, Barajas, and Mckay Wines",Esperanza,King,(774) 555-6726,9668 Valley Farms Lane ,Winter Springs,FL,32708,Reseller
FL-1235,Lewis  Restaurant Group,Jalen,Morales,(492) 555-8339,7197 Columbia St. ,West Palm Beach,FL,33404,Reseller
FL-1236,Porter-Noble LLC,Jason,Mata,(814) 555-4194,89 Nut Swamp St. ,Windermere,FL,34786,Reseller
FL-1237,Oneal-Smith Wine & Liquor,Damarion,Stevens,(841) 555-8884,301 E. Miller Road ,Melbourne,FL,32904,Reseller
FL-1238,Ayala-Thomas Liquors,Yusuf,Stokes,(858) 555-4139,8068 Oakland Drive ,Ormond Beach,FL,32174,Reseller
FL-1239,Barrett-Meyer Stores,Bridget,Little,(969) 555-2657,385 Shadow Brook Street ,Key West,FL,33040,Reseller
FL-1240,Griffin  Stores,Emanuel,Shannon,(652) 555-8881,576 Victoria St. ,Port Orange,FL,32127,Reseller
FL-1241,"Moore, Martin, and Lewis Inc.",Darren,Pitts,(744) 555-3712,461 6th St. ,Port Saint Lucie,FL,34952,Reseller
FL-1242,Harmon-Robertson ,Payten,Vasquez,(647) 555-7548,8173 Manor Station Drive ,Lady Lake,FL,32159,Reseller
FL-1243,"Willis, Washington, and Meyer Inc.",Jocelynn,Atkinson,(769) 555-8108,71 Clark Dr. ,Loxahatchee,FL,33470,Reseller
FL-1244,Howell-White Purveyors,Maurice,Strong,(921) 555-9307,832 Ocean Street ,Saint Johns,FL,32259,Reseller
FL-1245,Stafford  Stores,Paisley,Stokes,(450) 555-7898,625 Peninsula Drive ,Hollywood,FL,33020,Reseller
FL-1246,Naples Wine Merchant,Jamal,Henderson,(947) 555-3187,499 Nut Swamp Road ,Naples,FL,34116,Reseller
FL-1247,Fernandina Flavors,Kassandra,Mcintosh,(893) 555-9601,998 Lancaster Lane ,Fernandina Beach,FL,32034,Reseller
FL-1248,Fischer  Wine & Liquor,Brett,Prince,(608) 555-9367,20 Orchard Court ,Middleburg,FL,32068,Reseller
FL-1249,Herrera-Newman Wine & Liquor,Jaden,Frazier,(234) 555-2156,8599 Virginia Dr. ,Pembroke Pines,FL,33028,Reseller
FL-1250,Rice-Wilson Liquors,Adelyn,Cherry,(620) 555-8549,902 Shady Court ,Opa Locka,FL,33054,Reseller
FL-1251,Deleon  Beverages,Laila,Holmes,(459) 555-0740,9883 Kingston Ave. ,North Miami Beach,FL,33160,Reseller
FL-1252,"Oconnor, Johnson, and Randolph Restaurants",Allan,Booth,(586) 555-5197,7482 Jackson Street ,Wellington,FL,33414,Reseller
FL-1253,Richardson  Wine & Liquor,Kristopher,Horton,(390) 555-8929,9016 Applegate Ave. ,Fleming Island,FL,32003,Reseller
FL-1254,Carter  Wine & Liquor,Rocco,Taylor,(489) 555-2369,9914 East Washington St. ,Saint Petersburg,FL,33702,Reseller
FL-1255,Outgoing Ostrich,Erin,Roach,(845) 555-7791,958 San Juan St. ,Fort Myers,FL,33905,Retailer
FL-1256,Davis-Parks Wine & Liquor,Jennifer,Barry,(357) 555-2261,8648 Honey Creek Road ,Clermont,FL,34711,Reseller
FL-1257,Delgado-Garcia Liquors,Katelynn,Eaton,(563) 555-0190,8996 Lincoln Avenue ,Tallahassee,FL,32303,Reseller
FL-1258,Amazing Canvas,Davin,Gaines,(378) 555-3045,5 Addison St. ,Winter Park,FL,32792,Retailer
FL-1259,"Meyer, Ramsey, and White Restaurants",Ariana,Underwood,(684) 555-8683,282 Honey Creek St. ,Palm Bay,FL,32907,Reseller
FL-1260,Brock-Gonzales ,Samir,Richardson,(935) 555-6396,831 Bedford St. ,Lakeland,FL,33801,Reseller
FL-1261,Middleton  Stores,Reece,Haynes,(758) 555-3452,278 San Pablo Lane ,Palmetto,FL,34221,Reseller
FL-1262,Neal-Flores ,Helena,Marquez,(390) 555-7192,49 Wild Horse St. ,Miami,FL,33125,Reseller
FL-1263,Venice Wine Merchants,Ingrid,Glenn,(713) 555-4204,76 Sycamore Street ,Venice,FL,34293,Reseller
FL-1264,"Austin, Mccormick, and Wilson Beverages",Nathaniel,Johnston,(555) 555-8806,6 Lexington Dr. ,Longwood,FL,32779,Reseller
FL-1265,"Mooney, Burgess, and Bullock Purveyors",Amber,Salinas,(662) 555-5112,218 Marlborough St. ,Spring Hill,FL,34608,Reseller
FL-1266,Velasquez  ,Deshawn,Wise,(539) 555-5329,41 Hilldale Rd. ,Port Charlotte,FL,33952,Reseller
FL-1267,"Johnston, Munoz, and Burke Restaurants",Leslie,Wright,(828) 555-1182,8639 Tailwater St. ,Kissimmee,FL,34741,Reseller
FL-1268,Hernandez  Wines,Angelique,Neal,(469) 555-3183,981 Laurel Lane ,Stuart,FL,34997,Reseller
FL-1269,Oliver  Wine & Liquor,Payton,Ray,(488) 555-0580,355 Wintergreen Street ,North Fort Myers,FL,33917,Reseller
FL-1270,Majestic Mango,Christian,Hancock,(805) 555-9378,8763 Rockcrest St. ,Miami Beach,FL,33139,Retailer
FL-1271,"Lloyd, Garcia, and Rodriguez Restaurant Group",Corinne,Ware,(841) 555-8627,388 Greenview Lane ,Clearwater,FL,33756,Reseller
GA-1001,"Dalton, Smith, and Shelton ",Ronin,Pace,(882) 555-5529,98 South Harvey Lane ,Griffin,GA,30223,Reseller
GA-1002,Perry  Purveyors,Hector,Wilcox,(933) 555-4788,173 West Trenton Court ,Snellville,GA,30039,Reseller
GA-1003,Nice Arithmetic,Malaki,Blevins,(662) 555-6416,269 Carpenter Drive ,Powder Springs,GA,30127,Retailer
GA-1004,Robinson  ,Rhett,Howard,(702) 555-9931,9747 Arnold Court ,Brunswick,GA,31525,Reseller
GA-1005,"Bell, Parrish, and Edwards Wine & Liquor",Adeline,Ware,(677) 555-8974,374 Somerset Dr. ,Lithonia,GA,30038,Reseller
GA-1006,"Davis, Scott, and Brown Restaurant Group",Curtis,Wyatt,(779) 555-7361,74 Brown Lane ,Milledgeville,GA,31061,Reseller
GA-1007,"Barnett, Smith, and Snyder Liquors",Kaylin,Miller,(717) 555-1848,96 White Lane ,Columbus,GA,31904,Reseller
GA-1008,Good Chance,Hallie,Richard,(873) 555-5339,6 Linden Dr. ,Duluth,GA,30096,Retailer
GA-1009,Clark-Baker ,Paola,Mosley,(395) 555-6148,488 Hamilton Court ,Villa Rica,GA,30180,Reseller
GA-1010,"Gomez, Garza, and Fuller ",Bryan,Huff,(896) 555-5317,93 Wellington Street ,Tucker,GA,30084,Reseller
GA-1011,Evans  Wines,Rhys,Dominguez,(273) 555-2297,47 E. Henry Road ,Dacula,GA,30019,Reseller
GA-1012,Rice  ,Dean,Estes,(923) 555-6160,3 James St. ,Grovetown,GA,30813,Reseller
GA-1013,Davis-Smith Stores,Esther,Avila,(750) 555-3689,135 E. Temple Dr. ,Stone Mountain,GA,30083,Reseller
GA-1014,Unkempt Kelp Express,Shirley,Brock,(818) 555-1254,775 Hillcrest St. ,Douglasville,GA,30134,Retailer
GA-1015,Cooper  Group,Taylor,Shannon,(212) 555-9814,703 N. Pearl Street ,Cumming,GA,30040,Reseller
GA-1016,Sweet Sip,Valentin,Davies,(922) 555-4209,8409 Marconi Ave. ,Hinesville,GA,31313,Retailer
GA-1017,Holistic Earth Bakery,Penelope,Tapia,(388) 555-0264,75 Tallwood St. ,Hephzibah,GA,30815,Retailer
GA-1018,Ware  Wine & Liquor,Adison,Sutton,(636) 555-9827,90 E. Lawrence Lane ,Ringgold,GA,30736,Reseller
GA-1019,"Gonzalez, Smith, and Mosley ",Paityn,Chen,(737) 555-5981,19 Smith Street ,Valdosta,GA,31601,Reseller
GA-1020,Morrison  Wine & Liquor,Damion,Williamson,(463) 555-9839,6 North Mountainview Road ,Savannah,GA,31404,Reseller
GA-1021,Delgado  Purveyors,Juliet,Ferguson,(743) 555-8714,621 Devonshire Drive ,Buford,GA,30518,Reseller
GA-1022,"Garcia, Downs, and Ford LLC",Lilyana,Fitzgerald,(699) 555-8848,188 Riverview St. ,Ellenwood,GA,30294,Reseller
GA-1023,Salazar-Boyd Group,Kierra,Briggs,(345) 555-2071,7 Rockwell Road ,Acworth,GA,30101,Reseller
GA-1024,Benson  Purveyors,Nola,Munoz,(817) 555-2354,8249 Cambridge Ave. ,Fairburn,GA,30213,Reseller
GA-1025,"Norris, Murray, and Long Group",Laci,West,(748) 555-1350,78 Indian Summer St. ,Mableton,GA,30126,Reseller
GA-1026,Valdez  Liquors,Alejandra,Parrish,(333) 555-9837,74 Boston Dr. ,Jonesboro,GA,30236,Reseller
GA-1027,Sturdy Room,Javon,Pope,(544) 555-9526,460 Edgefield Dr. ,Canton,GA,30114,Retailer
GA-1028,"Barrett, Green, and Powers Wine & Liquor",Keyon,Joseph,(280) 555-2789,19 Gonzales Dr. ,Mcdonough,GA,30252,Reseller
GA-1029,Wilson  Restaurants,Kennedi,Montgomery,(911) 555-9929,7861 Queen Rd. ,Dawsonville,GA,30534,Reseller
GA-1030,Calderon-Robinson Restaurant Group,Ayanna,Murray,(366) 555-8659,96 S. Brown St. ,Calhoun,GA,30701,Reseller
GA-1031,"Schroeder, Walton, and Lawrence LLC",Hailee,Lloyd,(469) 555-2745,189 Eagle St. ,Rossville,GA,30741,Reseller
GA-1032,Castillo-Diaz ,Camila,Stanley,(646) 555-9949,138 Overlook Street ,Augusta,GA,30906,Reseller
GA-1033,"Barr, Alexander, and Mcdaniel LLC",Paityn,Flynn,(551) 555-4355,424 Hillside Ave. ,Woodstock,GA,30188,Reseller
GA-1034,Reese-Smith Stores,Carolina,Benjamin,(864) 555-4461,9709 Meadow St. ,Marietta,GA,30008,Reseller
GA-1035,Johnson-Nelson Beverages,Fatima,Mcknight,(668) 555-9226,45 South George Dr. ,Dallas,GA,30132,Reseller
GA-1036,Ross  Purveyors,Camren,Sheppard,(782) 555-3720,8376 Devonshire St. ,Covington,GA,30014,Reseller
GA-1037,Tender Cent Stores,Kaylah,Glenn,(877) 555-7100,1 George Ave. ,Athens,GA,30605,Retailer
GA-1038,Williams-Anderson Group,Braedon,Mckee,(439) 555-8451,39 Third Dr. ,Dalton,GA,30721,Reseller
GA-1039,Roy-Hanson Purveyors,Zachary,Campos,(695) 555-5663,406 S. Pheasant Ave. ,Newnan,GA,30263,Reseller
GA-1040,Carpenter  Beverages,Kaylynn,Butler,(358) 555-3831,67 Gulf St. ,Riverdale,GA,30274,Reseller
GA-1041,Erickson  Restaurants,Jamarcus,Peck,(338) 555-4513,562 Cherry Dr. ,Warner Robins,GA,31088,Reseller
GA-1042,Gardner-Gibbs ,Cloe,Marquez,(532) 555-7525,849 Gartner Court ,Kennesaw,GA,30144,Reseller
GA-1043,Martinez  Stores,Ireland,Schaefer,(898) 555-7034,77 Meadow Ave. ,Cartersville,GA,30120,Reseller
GA-1044,The Bewildered Ghost,Judith,Berg,(744) 555-1298,367 10th Ave. ,Macon,GA,31204,Retailer
GA-1045,White  Restaurant Group,Arjun,Hood,(809) 555-9395,59 Colonial St. ,Carrollton,GA,30117,Reseller
GA-1046,"Vega, Boone, and Mueller Stores",Zoey,Freeman,(810) 555-2234,7580 Division Court ,Lagrange,GA,30240,Reseller
GA-1047,The Secret Battle,Annalise,Singh,(540) 555-9688,26 Marlborough St. ,Lilburn,GA,30047,Retailer
GA-1048,Dillon  Wines,Bryan,Bond,(700) 555-7340,682 Hill Dr. ,Chatsworth,GA,30705,Reseller
GA-1049,Grimes-Fuller Inc.,Kenny,Pollard,(269) 555-4542,9550 SW. Livingston St. ,Atlanta,GA,30303,Reseller
GA-1050,The Calculating Carafe,Nathalie,Santiago,(798) 555-4797,680 North Wayne Drive ,Alpharetta,GA,30004,Retailer
GA-1051,Fry-Hunt ,Nola,Williamson,(647) 555-4806,697 Hill Rd. ,Dalton,GA,30721,Reseller
GA-1052,"Campos, Lawrence, and Irwin LLC",Bruce,Blackwell,(983) 555-0007,837 Washington St. ,Milledgeville,GA,31061,Reseller
GA-1053,"Gray, Brown, and Abbott Stores",Kaley,Mosley,(443) 555-7632,127 Clinton Ave. ,Snellville,GA,30039,Reseller
GA-1054,Castro-Richardson Beverages,Broderick,Grant,(202) 555-7815,25 S. Branch Street ,Villa Rica,GA,30180,Reseller
GA-1055,"Ruiz, Gordon, and Coleman Beverages",Saul,Stafford,(435) 555-8344,668 South Logan St. ,Carrollton,GA,30117,Reseller
GA-1056,The Naughty Monkey,Lily,Colon,(496) 555-4871,455 Green Ave. ,Hinesville,GA,31313,Retailer
GA-1057,"Simpson, Davis, and Harris ",Nylah,Compton,(507) 555-0083,481 Sunbeam St. ,Griffin,GA,30223,Reseller
GA-1058,Petty-Randall Restaurants,Elliott,Kim,(926) 555-8539,9795 Rockaway Ave. ,Douglasville,GA,30134,Reseller
GA-1059,Rose  Restaurants,Shyann,Dillon,(828) 555-6847,7219 S. Ohio Drive ,Dublin,GA,31021,Reseller
GA-1060,"Tapia, Fox, and Craig Wine & Liquor",Marcelo,Bell,(711) 555-3481,858 Proctor Ave. ,Columbus,GA,31904,Reseller
GA-1061,Festive Rainstorm,Johan,Reeves,(970) 555-6560,821 Valley View Street ,Peachtree City,GA,30269,Retailer
GA-1062,Marvelous Root Restaurant,Leslie,Dorsey,(977) 555-7478,9143 San Juan Lane ,Warner Robins,GA,31088,Retailer
GA-1063,Curry-Butler Purveyors,Derek,Galloway,(699) 555-2441,50B Whitemarsh Drive ,Dawsonville,GA,30534,Reseller
GA-1064,Flores-Daniel ,Wilson,Gallegos,(734) 555-4116,344 Summit Ave. ,Stone Mountain,GA,30083,Reseller
GA-1065,Tapia-Jackson Liquors,Kenny,Owens,(935) 555-9845,9167 Laurel St. ,Norcross,GA,30092,Reseller
GA-1066,Sanders-Cruz Restaurant Group,Jeramiah,Becker,(913) 555-7199,9133 Silver Spear Ave. ,Brunswick,GA,31525,Reseller
GA-1067,"Barnes, Bates, and Williams Inc.",Jamarion,Case,(859) 555-5032,94 Magnolia St. ,Atlanta,GA,30303,Reseller
GA-1068,"Sims, Jones, and Meyers Liquors",Macey,Robles,(769) 555-5818,548 Bear Hill Rd. ,Smyrna,GA,30080,Reseller
GA-1069,Grant  Wines,Lindsey,Dalton,(421) 555-1628,98 Colonial Road ,Ellenwood,GA,30294,Reseller
GA-1070,Medina  ,Jaron,Knight,(999) 555-7872,4 North Walnut St. ,Suwanee,GA,30024,Reseller
GA-1071,Villegas-Alexander Beverages,Milton,Newman,(311) 555-0204,6 Rockville Lane ,Ringgold,GA,30736,Reseller
GA-1072,"Dennis, Jacobson, and Ward ",Marin,Callahan,(379) 555-6353,642 Beach St. ,Kennesaw,GA,30144,Reseller
GA-1073,Ellis  Inc.,Francesca,Franklin,(878) 555-5718,512 Smith St. ,Canton,GA,30114,Reseller
GA-1074,Cummings-Hood Beverages,Jacquelyn,Lee,(654) 555-7609,983 E. West Road ,Lagrange,GA,30240,Reseller
GA-1075,"Arroyo, Smith, and Wong ",Alannah,Conner,(300) 555-8616,9892 Wall St. ,Augusta,GA,30906,Reseller
GA-1076,One Oven Bakery,Ashlee,Schneider,(579) 555-8739,289 Glendale Ave. ,Covington,GA,30014,Retailer
GA-1077,Austin  Group,Clay,Hines,(980) 555-5085,7727 NE. Amherst Ave. ,Powder Springs,GA,30127,Reseller
GA-1078,Morse-Rogers ,Wendy,Pruitt,(325) 555-4247,744 Oklahoma St. ,Dallas,GA,30132,Reseller
GA-1079,Fernandez  Wine & Liquor,Aimee,Moran,(204) 555-4586,214 Durham Street ,Dacula,GA,30019,Reseller
GA-1080,"Pham, Woodward, and Barron Group",Nataly,Hanna,(280) 555-1622,9776 Wood Street ,Rossville,GA,30741,Reseller
GA-1081,Nichols-Huang Liquors,Emma,Byrd,(981) 555-8787,9976 Hudson St. ,Cartersville,GA,30120,Reseller
GA-1082,"Johnson, Green, and Howard Stores",Kenna,Gregory,(696) 555-3034,10 S. Oak Street ,Jonesboro,GA,30236,Reseller
GA-1083,Davis-Schneider ,Konner,Richard,(702) 555-2589,68 Homestead Lane ,Woodstock,GA,30188,Reseller
GA-1084,Jones  Stores,Jenna,Fuller,(213) 555-6879,413 Sunnyslope Lane ,Grovetown,GA,30813,Reseller
GA-1085,"Alexander, Jones, and Simmons Stores",Ian,Bolton,(670) 555-9340,9762 Surrey St. ,Decatur,GA,30030,Reseller
GA-1086,Velazquez  Inc.,Kenley,Chavez,(448) 555-9540,53 Courtland Drive ,Marietta,GA,30008,Reseller
GA-1087,"Beasley, Gross, and Hill Wines",Kali,Franco,(214) 555-6077,696 Chestnut Dr. ,Tucker,GA,30084,Reseller
GA-1088,"Ortiz, Hughes, and Castro Beverages",Alexus,Bradford,(244) 555-2588,689 Church Lane ,Valdosta,GA,31601,Reseller
GA-1089,Johnson  Habershear,Enrique,Santana,(582) 555-6517,9111 Church Road ,Calhoun,GA,30701,Reseller
GA-1090,Hughes  Restaurant Group,Vanessa,Sparks,(623) 555-0426,554 E. Summit Ave. ,Hephzibah,GA,30815,Reseller
GA-1091,Romero  Wines,Halle,Compton,(517) 555-5636,43 Depot Drive ,Winder,GA,30680,Reseller
GA-1092,Clark-Moore Stores,Alexus,Osborn,(833) 555-6187,694 Ocean Ave. ,Evans,GA,30809,Reseller
GA-1093,Watson-Medina LLC,Leyla,Munoz,(871) 555-2023,9117 Circle St. ,Mableton,GA,30126,Reseller
GA-1094,Kramer-Martinez Wines,Edward,Russell,(524) 555-4565,8717 Warren St. ,Fairburn,GA,30213,Reseller
GA-1095,Morgan  Inc.,Alicia,Rich,(765) 555-4778,535 Sycamore Ave. ,Acworth,GA,30101,Reseller
GA-1096,Sullivan  ,Alexa,Michael,(289) 555-2451,9760 West Wild Horse Drive ,Mcdonough,GA,30252,Reseller
GA-1097,"Johnson, Cummings, and Smith Restaurant Group",Howard,Pena,(742) 555-4328,7228 Walt Whitman Ave. ,Lilburn,GA,30047,Reseller
GA-1098,Meyer  ,Paulina,Valentine,(736) 555-4410,8824 Heather Circle ,Loganville,GA,30052,Reseller
GA-1099,Robinson-Adkins ,Kailey,Hicks,(495) 555-7017,8104 E. Longfellow Street ,Stockbridge,GA,30281,Reseller
GA-1100,Evans  Beverages,Johnathon,Hunter,(603) 555-4226,57 Water Rd. ,Athens,GA,30605,Reseller
GA-1101,"Sellers, Jackson, and Chambers Restaurant Group",Sydnee,Lyons,(660) 555-8151,958 Surrey Street ,Lawrenceville,GA,30043,Reseller
GA-1102,Garcia  Group,Reed,Carlson,(867) 555-3652,45 Pennington St. ,Chatsworth,GA,30705,Reseller
GA-1103,Collins-Jackson ,Bradley,Preston,(773) 555-0500,279 NW. Ketch Harbour Drive ,Alpharetta,GA,30004,Reseller
GA-1104,"Chavez, Anderson, and Villa Stores",Macie,Randolph,(201) 555-0580,45 Oakwood St. ,Riverdale,GA,30274,Reseller
GA-1105,"Castillo, Stafford, and Morrow Inc.",Kameron,Fischer,(923) 555-1590,50 Redwood Ave. ,Conyers,GA,30012,Reseller
GA-1106,Dunn  Restaurants,Lana,Bird,(625) 555-6681,859 Randall Mill Ave. ,Buford,GA,30518,Reseller
GA-1107,Aguilar-King ,Imani,Mcintyre,(955) 555-9123,600 Hickory St. ,Flowery Branch,GA,30542,Reseller
GA-1108,Davis-Elliott Restaurant Group,Zaria,Lewis,(553) 555-3307,1 Pineknoll St. ,Duluth,GA,30096,Reseller
GA-1109,Mendoza  Restaurant Group,Dominic,Clements,(499) 555-7017,7058 Trout St. ,Lithonia,GA,30038,Reseller
GA-1110,Reid-Pierce Group,Warren,Mckay,(861) 555-8221,6 Old York Ave. ,Newnan,GA,30263,Reseller
GA-1111,Estes-Nolan Liquors,Emery,Davidson,(596) 555-1976,7963 Roberts Drive ,Macon,GA,31204,Reseller
GA-1112,Simpson-Clark ,Thomas,Dickson,(995) 555-3054,975 E. St Paul Avenue ,Roswell,GA,30075,Reseller
GA-1113,"Carroll, Gonzalez, and Wilson Stores",Oscar,Thompson,(880) 555-5515,28 Paris Hill Court ,Savannah,GA,31404,Reseller
GA-1114,Green  Purveyors,Mathias,Tyler,(684) 555-4784,210 East Ohio Street ,Cumming,GA,30040,Reseller
HI-1001,The White Brick,Lisa,Larson,(943) 555-9279,7129 Birchpond Rd. ,Honolulu,HI,96815,Retailer
HI-1002,Gonzales-Jones Purveyors,Katelyn,Murillo,(290) 555-2499,121 Glenridge Ave. ,Honolulu,HI,96815,Reseller
IA-1001,Glenn-Dyer ,Marcelo,Carey,(458) 555-9656,7210 Glen Creek Drive ,Davenport,IA,52804,Reseller
IA-1002,Taylor  Wine & Liquor,Braydon,Hester,(275) 555-1978,38 Gregory St. ,Ankeny,IA,50023,Reseller
IA-1003,Tenuous ,Hadley,Guerrero,(402) 555-5956,8456 Paris Hill St. ,Waterloo,IA,50701,Retailer
IA-1004,"Eaton, Bernard, and Burke Stores",Tristin,Barnett,(935) 555-7077,88 Fremont Ave. ,Cedar Falls,IA,50613,Reseller
IA-1005,Henderson  Liquors,Jewel,Leonard,(469) 555-1121,608 Peninsula Rd. ,Urbandale,IA,50322,Reseller
IA-1006,"Schmidt, Peters, and Carpenter ",Leon,Dorsey,(446) 555-1688,9334 Blackburn St. ,Des Moines,IA,50310,Reseller
IA-1007,Hopkins  Inc.,Chris,Oliver,(646) 555-8960,9201 Evergreen Ave. ,West Des Moines,IA,50265,Reseller
IA-1008,Living Legend,Clayton,Yu,(688) 555-0472,9233 E. County Court ,Muscatine,IA,52761,Retailer
IA-1009,"Johnson, Farley, and Colon Purveyors",Meredith,Floyd,(860) 555-1498,11 Rock Maple Lane ,Ames,IA,50010,Reseller
IA-1010,"House, Jenkins, and Jones ",Ray,Cardenas,(293) 555-3291,77 E. Acacia Ave. ,Cedar Rapids,IA,52402,Reseller
IA-1011,Salinas  ,Chana,Schroeder,(970) 555-7069,4 Broad Lane ,Fort Dodge,IA,50501,Reseller
IA-1012,Hines-Arellano Restaurant Group,Elias,Mullen,(566) 555-0035,941 Thatcher Rd. ,Mason City,IA,50401,Reseller
IA-1013,Ferguson-Jones Wines,Clare,Carter,(864) 555-2967,87 East Alderwood Rd. ,Iowa City,IA,52240,Reseller
IA-1014,Ferguson  LLC,Marvin,Frederick,(894) 555-1880,8588 E. Walnut St. ,Dubuque,IA,52001,Reseller
IA-1015,Clean Copper Express,Marquis,Peck,(214) 555-6113,98 Birchpond Avenue ,Bettendorf,IA,52722,Retailer
IA-1016,Anxious Anteater ,Raul,Marquez,(496) 555-0813,4 Armstrong Dr. ,Marshalltown,IA,50158,Retailer
IA-1017,Turner  Restaurants,Judah,Monroe,(235) 555-8798,81 Taylor Ave. ,Fort Dodge,IA,50501,Reseller
IA-1018,Fred Smith Beverages,Jayleen,Nicholson,(708) 555-5974,14 Rockledge Ave. ,Ames,IA,50010,Reseller
IA-1019,"Brown, Munoz, and Ortiz Restaurant Group",Dominick,Chung,(380) 555-9863,803 Trout Road ,Des Moines,IA,50310,Reseller
IA-1020,Anderson  Restaurant Group,Isiah,Fuentes,(813) 555-6761,8B Vernon St. ,Marshalltown,IA,50158,Reseller
IA-1021,"Garcia, Giles, and Mosley Wine & Liquor",Amiyah,Daniels,(343) 555-4250,9091 Carriage Drive ,Davenport,IA,52804,Reseller
IA-1022,Alternating Current,Finley,Norman,(368) 555-8944,7388 Creekside Street ,Mason City,IA,50401,Retailer
IA-1023,Todd  ,Henry,Irwin,(297) 555-9964,8717 Van Dyke Avenue ,Urbandale,IA,50322,Reseller
IA-1024,Schneider-Williams ,Mylie,Clements,(212) 555-0716,9523 Beach Avenue ,Sioux City,IA,51106,Reseller
IA-1025,Medina-Miller Inc.,Dalia,Swanson,(896) 555-7698,8127 Spring Avenue ,Cedar Falls,IA,50613,Reseller
IA-1026,Guerrero  ,Lainey,Roth,(595) 555-3162,54 6th Court ,Muscatine,IA,52761,Reseller
IA-1027,Gross  Group,Judah,Randolph,(878) 555-9574,79 Glen Creek Dr. ,Cedar Rapids,IA,52402,Reseller
IA-1028,Watkins-Russell ,Alec,Gomez,(670) 555-2257,451 Walt Whitman Dr. ,Waterloo,IA,50701,Reseller
IA-1029,"Mccarty, Reyes, and Moore Restaurant Group",Mila,Mckee,(683) 555-9948,7 West Sierra Lane ,Council Bluffs,IA,51501,Reseller
IA-1030,"Johnson, Hernandez, and Scott Restaurant Group",Adison,Erickson,(504) 555-9226,9007 Beech Dr. ,West Des Moines,IA,50265,Reseller
IA-1031,"Harvey, Garner, and Mcclain Restaurant Group",Lailah,Foster,(284) 555-7710,511 Market St. ,Ottumwa,IA,52501,Reseller
IA-1032,George  Wines,Eugene,Bentley,(311) 555-7735,49 Sleepy Hollow Ave. ,Bettendorf,IA,52722,Reseller
IA-1033,Li-Davis Inc.,Keyla,Austin,(796) 555-0303,9421 Longfellow Drive ,Iowa City,IA,52240,Reseller
IA-1034,"Campbell, Lamb, and Arroyo Restaurant Group",Luca,Ward,(868) 555-1020,685 Bay Drive ,Dubuque,IA,52001,Reseller
IA-1035,Luna-Holmes Beverages,Broderick,Graham,(334) 555-3770,8302 Woodside Street ,Ankeny,IA,50023,Reseller
ID-1001,Walter-Leon Stores,Holly,Martin,(825) 555-0909,45 John Dr. ,Nampa,ID,83651,Reseller
ID-1002,Nguyen  LLC,Colby,Fitzpatrick,(829) 555-4290,7931 East Second St. ,Twin Falls,ID,83301,Reseller
ID-1003,The Complete Kettle,Araceli,Pace,(921) 555-9025,99 Water Drive ,Nampa,ID,83651,Retailer
IL-1001,"Torres, Alexander, and Lee Wines",Jovani,Bowman,(370) 555-0111,366 Vermont Ave. ,Chicago Heights,IL,60411,Reseller
IL-1002,"Gibbs, Garrison, and Baker Liquors",Tabitha,Coffey,(412) 555-6894,223 Arrowhead Court ,Harvey,IL,60426,Reseller
IL-1003,Campbell  ,Sierra,Henson,(546) 555-2749,40 Monroe Street ,Deerfield,IL,60015,Reseller
IL-1004,Wallace-Baldwin ,Haven,Welch,(497) 555-1174,1 Clay Lane ,Lombard,IL,60148,Reseller
IL-1005,Debonair Joe,Natasha,Frost,(566) 555-4487,9461 Old Academy Ave. ,Round Lake,IL,60073,Retailer
IL-1006,Jones-Brown ,Corbin,Trujillo,(673) 555-9663,57 Boston Ave. ,Rolling Meadows,IL,60008,Reseller
IL-1007,"Carpenter, Smith, and Gutierrez Purveyors",Danielle,Hall,(582) 555-2176,35 Mayfair St. ,Barrington,IL,60010,Reseller
IL-1008,"Wright, Johnson, and Drake Wine & Liquor",Katelyn,Avery,(478) 555-7340,755 East Arcadia Lane ,Oak Forest,IL,60452,Reseller
IL-1009,Osborne  ,Savannah,Hancock,(673) 555-2951,65 North Sleepy Hollow Road ,Lake Zurich,IL,60047,Reseller
IL-1010,Jackson Lopez  Inc.,Lily,Burton,(485) 555-7775,9263 Plumb Branch Street ,West Chicago,IL,60185,Reseller
IL-1011,Nelson-Phillips LLC,Savanah,Harrington,(977) 555-6860,9533 Birchwood St. ,Northbrook,IL,60062,Reseller
IL-1012,Morales-Rogers Inc.,Alexandra,Pitts,(871) 555-4706,7722 Wagon Rd. ,Glenview,IL,60025,Reseller
IL-1013,Hopkins-Berg ,Gaven,Valentine,(733) 555-1163,823 Winchester Street ,Hanover Park,IL,60133,Reseller
IL-1014,"Cooper, Martin, and Daugherty Wine & Liquor",Jude,Burton,(348) 555-6942,8202 Blue Spring Court ,Palatine,IL,60067,Reseller
